Entity 1,Relation,Entity 2
AttestationWmiProvider.exe,embedded in,Arid Gopher
Lazarus,aka,Appleworm
Dorusio,malware,AppleJeus
wirexpro[.]com,C2 overlap,AppleJeus
APT actors,create,App_Web_jl37rjxu.dll
Sparrow,output,AppUpdate_Operations_Export.csv
Sparrow PowerShell script,output,AppUpdate_Operations_Export.csv
Sparrow,output,AppRoleAssignment_Operations_Export.csv
Sparrow PowerShell script,output,AppRoleAssignment_Operations_Export.csv
CheckID,abuse,AnyDesk tool
Buhti,install,AnyDesk
PowerShell,download,AnyDesk
attackers,used,AnyDesk
AdFind,used alongside,AnyDesk
BITSAdmin,download,AnyDesk
Daggerfly,used,AnyDesk
BlackByte,use,AnyDesk
LockBit,use,AnyDesk
Grixba,checks for existence of,AnyDesk
Daggerfly,use,AnyDesk
affiliates,use,AnyDesk
coingotrade[.]com,same ASN,Ants2Whale[.]com
198.54.115[.]51,same ASN,Ants2Whale[.]com
postinstall script,run,Ants2WhaleHelper
DMG Installer,install,Ants2WhaleHelper
DMG Installer,install,Ants2Whale
AppleJeus,identified as,Ants2Whale
Hafnium/Ant,tracks as,Ant
Hafnium,also known as,Ant
Hafnium,aka,Ant
ankarex[.]net,accessible at,Ankarex
Rampant Kitten,develop,Android malware
Android.Doublehiddent,is,Android Trojan
fundelivereddss[.]com,landing page of,Amazon pallet scam
Enigma,communicate with,Amadey
Play ransomware,uses,AlphaVSS
Purple Haze,analyzed by,Alexander Matrosov
Core1337,publish,Ai-Solver-gen
PowerShell,download,Agent Tesla
spearphishing and intrusion campaign,related to,AdobeUpdater.exe
attackers,deploy,Adfind
Bumblebee,drop,AdFind tool
ransomware attack,use,AdFind
Billbug,leverage,AdFind
Bumblebee,use,AdFind
Cobalt Strike,used in conjunction with,AdFind
adf.bat,used with,AdFind
LockBit,use,AdFind
BlackByte,use,AdFind
Grixba,checks for existence of,Action1 Webex
Grixba,checks for existence of,Acronis
124ad1778c65a83208dbefcec7706dc6,associated with,AcroRD32.exe
Mirai,created by,Aboriginal Linux
AblyGo,utilize,Ably real-time messaging framework
Blackfly,aka,APT41
Grayfly,labeled as,APT41
Blackfly,cyber-crime arm of,APT41
Grayfly,associated with,APT41
Blackfly/Grayfly,aka,APT41
Othorene,links with,APT41
Grayfly,espionage arm of,APT41
Elfin,aka,APT33
Leafhopper group,aka,APT30
SVR,aka,APT29
FROZENLAKE,linked to,APT28
Swallowtail,aka,APT28
Iron Tiger,aka,APT27
Flea,aka,APT15
Cicada group,aka,APT10
Cicada,aka,APT10
Mantis,aka,APT-C-23
Hacktool.Regeorg,used by,APT groups
Document Manager,manipulated by,APT actors
Daggerfly,belong to,APT
Blackfly,for,APT
Dr. Zeus,manipulated,APDU commands
ConnectWise,infection vector,ALPHV/BlackCat ransomware
Noberus,aka,ALPHV
Actors,use,ADRecon
domain controllers,tool,AD database ntds.dit
USB Driver.exe,sideload,ACNSHELL malware
AdFind,hash,9d0fa4b88e5b36b8801b55508ab7bc7cda9909d639d70436e972cb3761d34eda
jmttrading[.]org,resolved to,96.126.123[.]244
Amadey,communicate with,95b4de74daadf79f0e0eef7735ce80bc
AsyncRAT,communicates with,95.216.102.32:8808
AsyncRAT,communicates with,95.216.102.32:7707
AsyncRAT,communicates with,95.216.102.32:6606
depended.exe,hash,94a78d5dce553832d61b59e0dda9ef2c33c10634ba4af3acb7fb7cf43be17a5b
wpm.cpl,hash,942489ce7dce87f7888322a0e56b5e3c3b0130e11f57b3879fbefc48351a78f6
sok.wia,connection with,94.177.123.16
FlawedGrace,establish,92.118.36[.]199
wscript.exe,execute,9140.d
test.exe,hash,912018ab3c6b16b39ee84f17745ff0c80a33cee241013ec35d0281e40c0658d9
calc.exe,hash,912018ab3c6b16b39ee84f17745ff0c80a33cee241013ec35d0281e40c0658d9
X_TRADER_r7.17.90p608.exe,hash,900b63ff9b06e0890bf642bdfcbfcc6ab7887c7a3c057c8e3fd6fba5ffc8e5d6
Space Pirates,deploy,9002 RAT
Webworm,develop,9002 RAT
Webworm,modify,9002 RAT
Trochilus,linked to,9002 RAT
0505f7e556f5fa5624e763fb72a769eb73c497ef8f855d706a0203848fd41c24,has MD5,8e8cd6dc7759f4b74ec0bfa84db5b1a5
C2 server,IP,89[.]208[.]107[.]12
JsuObf.exe,exfiltrate data to,89.34.237.118:2020
C&C server,IP,89.34.237.118
Proxy configuration tool,hash,88113bebc49d40c0aa1f1f0b10a7e6e71e4ed3ae595362451bd9dcebcf7f8bf4
LiGhT's Modded perlbot v2,IP,85[.]239[.]33[.]32
laplas[.]app,IP,85[.]192[.]40[.]252
192[.]168[.]21[.]182,in,847CBE9457B001FAF3C09FDE89EF95F9CA9E1F79C29091C4B5B08C5F5FE48337
Launcher_S0FT-2O23.exe,hash of this file,820bbfc1f5023af60a7048a0c25e3db51b481afd6986bf1b5ff806cf604c1f4c
deep-versed.nls,hash,817901df616c77dd1e5694e3d75aebb3a52464c23a06820517108c74edd07fbc
wh1tesun.info,has IP address,80.79.117.171
deerskin.exe,ping,8.8.8.8
RuntimeBroker.exe,test,8.8.8.8
Arid Gopher,contains,7za.exe
EvilExtractor,leverage,7za.exe
Raindrop,install,7z.dll
Bash scripts,hash,7f6e0fa785820075a61819ca6b272a239733b770eb8a92a4056cf5d26d89795f
malware,link,79[.]137[.]203[.]156
http[:]//79[.]137[.]203[.]156/Ebvjmba.dat,IP,79[.]137[.]203[.]156
Command and Control (C2) server,IP,79.137.206[.]228
http://jumpstartmail[.]com/IURTIER3BNV4ER/DWL1RucGSj/4wwA7S8jQv,IP,79.133.51[.]134
MSDriverLoader.exe,IP,72[.]167[.]223[.]219
Backdoor.Winnkit,hash,714cef77c92b1d909972580ec7602b0914f30e32c09a5e8cb9cb4d32aa2a2196
LockBit,use,7-zip
Chinese state-sponsored cyber actors,use,7-Zip utility
7zr,version of,7-Zip archiver
Backdoor.Pterodo.B,unpacked by,7-Zip
Raindrop,compiled from,7-Zip
AdFind,used alongside,7-Zip
mshta.exe,execute,7-ZIP.html
9002 RAT,dropper,6e46054aa9fd5992a7398e0feee894d5887e70373ca5987fc56cd4c0d28f26a1
hxxp://dmequest[.]com/dme/images/portfolio/products/1/csrsc.exe,hosted on,68[.]67.75.66
spearphishing and intrusion campaign,related to,6818a9aef22c0c2084293c82935e84fe
dnscmd.exe,hash,67877821bf1574060f4e45ab8be62e28f54fb40a23ce70b86a6369a4d63db5bc
TaxReturn2022.img,hash,6658d4b14f0093a2fccd2f57b5bf9fa18d09cda5d42036f280b41e5beb1ff2fe
ce9483f6284903d8d76d60f1a96b3ade33c77ded0cac1d1c2dc8979879d6f91e,has MD5,6244604b4fe75b652c05a217ac90eeac
Trochilus dropper,hash,6201c604ac7b6093dc8f6f12a92f40161508af1ddffa171946b876442a66927e
final.cpl,hash,61e305d6325b1ffb6de329f1eb5b3a6bcafa26c856861a8200d717df0dec48c4
spearphishing and intrusion campaign,related to,60456fe206a87f5422b214369af4260e
addins.cpl,hash,5f20cc6a6a82b940670a0f89eda5d68f091073091394c362bfcaf52145b058db
final.cp,hash,5f20cc6a6a82b940670a0f89eda5d68f091073091394c362bfcaf52145b058db
spearphishing and intrusion campaign,related to,5e6a033fa01739d9b517a468bd812162
Proxy configuration tool,hash,5e51bdf067e5781d2868d97e7608187d2fec423856dbc883c6f81a9746e99b9f
Corentry,sample,5df76f1ad59e019e52862585d27f1de2
Crash Handler,execute,5c4456f061ff764509a2b249f579a5a14d475c6714f714c5a45fdd67921b9fda
ga.js,contain,5bdd3443937ebe08d3e3c99e9524afc13702eba28340
3CX DesktopApp,load,5D41402ABC4B2A76B9719D911017C592
Task32Main,hash,5630c8f0dcd2393daf8477e6e4e419b0d0faf6780b6f1e00ad7a09fd37ddcdd3
spearphishing and intrusion campaign,related to,54db65a27472c9f3126df5bf91a773ea
BeagleBoyz,use,52ec074d8cb8243976963674dd40ffe7
spearphishing and intrusion campaign,related to,52294de74a80beb1e579e5bca7c7248a
Corentry,sample,511a473e26e7f10947561ded8f73ffd0
ARM,sample,509f5bb6bcc0f2da762847364f7c433d1179fb2b2f4828eefb30828c485a3084
my-odin[.]com,host,5.252.179[.]201
my-odin[.]com,host,5.252.176[.]49
VPN servers,access,5.252.176[.]49
malicious actor,changed URL to,4shared
BeagleBoyz,use,4c26b2d0e5cd3bfe0a3d07c4b85909a4
SQL tool,hash,4ae2cb9454077300151e701e6ac4e4d26dc72227135651e02437902ac05aa80d
PowerBots (C) GohacK,C2,49[.]212[.]234[.]206:3303
Proxy configuration tool,hash,498e8d231f97c037909662764397e02f67d0ee16b4f6744cf923f4de3b522bc1
arm.dat,hash,48f3ead8477f3ef16da6b74dadc89661a231c82b96f3574c6b7ceb9c03468291
AndoryuBot,connect to,45[.]153[.]243[.]39
Screenshotting tool,hash,452d08d420a8d564ff5df6f6a91521887f8b9141d96c77a423ac7fc9c28e07e4
attacker's infrastructure,IP,450ebd66ba67bb46bf18d122823ff07ef4a7b11afe63b6f269aec9236a1790cd
jmttrading[.]org,resolved to,45.79.19[.]196
jmttrading[.]org,resolved to,45.56.79[.]23
jmttrading[.]org,resolved to,45.33.2[.]79
jmttrading[.]org,resolved to,45.33.23[.]183
celasllc[.]com,IP,45.199.63[.]220
C&C server,ip,45.153.243.93
Vaxa.exe,hash,44810cead810cd546a8983e464157a4eb98ebbd518c4f4249e6b99e7f911090f
attacker,use,3proxy tiny proxy server
North Korean-sponsored actors,believed to be linked to,3CX DesktopApp
attackers,compromise,3CX DesktopApp
aa124a4b4df12b34e74ee7f6c683b2ebec4ce9a8edcf9be345823b4fdcf5d868,variants,3CX DesktopApp
59e1edf4d82fae4978e97512b0331b7eb21dd4b838b850ba46794d9c7a2c0983,variants,3CX DesktopApp
X_Trader,breach,3CX
javac.exe,hash,386eb7aa33c76ce671d6685f79512597f1fab28ea46c8ec7d89e58340081e2bd
TONESHELL,C&C server,38.54.33.228
9002 RAT,packed backdoor,37fa5108db1ae73475911a5558fba423ef6eee2cf3132e35d3918b9073aeecc1
Corentry,sample,318d8b61d642274dd0513c293e535b38
bitsadmin.exe,downloaded,3.avi
p.exe,hash,2f1520301536958bcf5c65516ca85a343133b443db9835a58049cd1694460424
[TEMP]\Logger.exe,hash,28d78e52420906794e4059a603fa9f22d5d6e4479d91e9046a97318c83998679
wscript.exe,execute,22333.docx
C&C server,IP,217.147.168.123
celasllc[.]com,IP,209.99.64[.]18
ProxyShell,exploited from,209.14.0[.]234
celasllc[.]com,IP,208.91.197[.]46
Command and Control server,IP,207[.]32.217.89
NordVPN,C2 server,207[.]32.217.89
OpenVPN,C2 server,207[.]32.217.89
ProtonVPN,C2 server,207[.]32.217.89
osker.aspx,accessed via,207.244.71[.]81
cronb.sh,download from,205[.]185[.]118[.]246
malicious shell script,download from,205[.]185[.]118[.]246
e7db4b0d0ef2804d9161670908697a93032a4c1809066d54ec6f9bcc8befa341.exe,has size,20480
0505f7e556f5fa5624e763fb72a769eb73c497ef8f855d706a0203848fd41c24,has size,20480
MSDriverMonitor.exe,IP,203[.]96[.]191[.]70
10[.]10[.]30[.]36,in,2008BDD98D3DCB6633357B8D641C97812DF916300222FC815066978090FA078F
avsvmcloud[.]com,resolves to,20.140.0[.]1
dp_crypto.py,associated with,20.121.51[.]51
FormDll.dll,hash,1f09d177c99d429ae440393ac9835183d6fd1f1af596089cc01b68021e2e29a7
planeta.exe,hash,1ea3881d5d03214d6b7e37fb7b10221ef51782080a24cc3e275f42a3c1ea99c1
adf.bat,hash,1e7737a57552b0b32356f5e54dd84a9ae85bb3acff05ef5d52aabaa996282dfb
Gh0st RAT,dropper,1e725f1fe67d1a596c9677df69ef5b1b2c29903e84d7b08284f0a767aedcc097
deerskin.exe,hash,1ddc9b873fe4f4c8cf8978b6b1bb0e4d9dc07e60ba188ac6a5ad8f162d2a1e8f
deep-green.exe,hash,1ddc9b873fe4f4c8cf8978b6b1bb0e4d9dc07e60ba188ac6a5ad8f162d2a1e8f
Control Panel (CPL) file,hash,1d31bea6a065fa20cf41861d21b7ea39979d40126c800ebc87d07adb41fe03f4
Process-hollowing tool,hash,1cc838896fbaf7c1996198309fbf273c058b796cd2ac1ba7a46bee6df606900e
Gh0st RAT,shellcode loader,1CC32C7F2C90A558BA5FF6BA191E655B20D7C65C10AF0D5D06820A28C2947EFD
4144bc0bf25e55fbc65c1c03831ab1a82bc9cb267f8dd6264f5d0c55585ffd55,has size,19968
94e3fbcfb8d6f3fae34b1bc196c78082d35dc5a0084510c2c0b3ef38bc7b9cc2,has size,19968
wiecatinsu8.exe,has size,19968
ce9483f6284903d8d76d60f1a96b3ade33c77ded0cac1d1c2dc8979879d6f91e,has size,19968
8cc5050f513ed22780d4e85857a77a1fb2a3083d792cd550089b64e1d2ef58e9,has size,19968
STRRAT,use,198[.]27.77.242
jmttrading[.]org,resolved to,198.58.118[.]167
jmttrading[.]org,resolved to,198.54.117[.]200
unioncrypto[.]vip,resolved to,198.54.117[.]200
jmttrading[.]org,resolved to,198.54.117[.]199
unioncrypto[.]vip,resolved to,198.54.117[.]199
unioncrypto[.]vip,resolved to,198.54.117[.]198
jmttrading[.]org,resolved to,198.54.117[.]198
unioncrypto[.]vip,resolved to,198.54.117[.]197
jmttrading[.]org,resolved to,198.54.117[.]197
dorusio[.]com,resolve to,198.54.115[.]51
ants2whale[.]com,resolved to,198.54.114[.]237
coingotrade[.]com,resolved to,198.54.114[.]175
celasllc[.]com,IP,198.251.83[.]27
jmttrading[.]org,resolved to,198.187.29[.]20
hxxps://shipmentofficedepot[.]com,IP,195[.]123.234.11
Cobalt Strike beacon,download,195.123.234[.]101/DoFor/review/Mcirosoft
ed09eee5ff1de74f7af7d9666a321726e745ef12c5766753b75c20c00ed6dd9b,has size,19456
c33b7e2da7e7746950615f04bca55603f6c9082dd2352efe12173f408494c660,has size,19456
Veiledsignal,contains,19442d9e476e3ef990ce57b683190301e946ccb28fc88b69ab53a93bf84464ae
Enigma,use,193[.]56[.]146[.]29
Amadey,C2 panel,193[.]56[.]146[.]29
Cobalt Strike,C&C,193.106.191.187
receipt.doc,download from,192[.]227[.]129[.]26
C&C server,IP,192.119.15.35
my-odin[.]com,host,186.2.166[.]15
PowerShell script,connect to,185[.]82[.]219[.]201
gg1593[.]c1[.]biz,points to,185[.]176[.]43[.]106
repro.exe,connect to,185.225.19.55:80
powershell,download,185.225.19.55/111.txt
celasllc[.]com,IP,185.181.104[.]82
5.252.176[.]49,connect to,185.173.93[.]98:443
celasllc[.]com,IP,185.142.236[.]213
09478bf4833505d3d7b66d4f30ccce6b9fde3ea51b9ccf6fdeadc008efba43d8,has size,18432
jmttrading[.]org,resolved to,184.168.221[.]57
jmttrading[.]org,resolved to,184.168.221[.]40
Iranian government-sponsored APT actors,connected to,182.54.217[.]2
Form.pdb,hash,180970fce4a226de05df6d22339dd4ae03dfd5e451dcf2d464b663e86c824b8e
Tinba,has size,18-20KB
C&C server,IP,179[.]43[.]155[.]202
C2 servers,IP,179.43.155[.]202
msdtc.exe,analyzed by,1768.py
celasllc[.]com,IP,175.29.32[.]160
command and control (C&C) server,observed connecting with,174[.]127[.]99[.]211
C2 server,address,171.22.30.72:5151
python310.dll,connect to,167[.]88[.]164[.]141
SFTP server,IP,165.22.84.147
credential phishing webpages,target,163.com
APT actors,access from,162.210.194[.]10
SFTP server,IP,159.89.128.13
http://salimafia[.]net/IURTIER3BNV4ER/DWL1RucGSj/4wwA7S8jQv,IP,146.19.233[.]32
jmttrading[.]org,resolved to,146.112.61[.]107
celasllc[.]com,IP,145.249.106[.]19
google.com,ranslate into,142.250.72.238
Tinba,uses,13 byte initial RC4 encoded request
Andromeda bot,has size,13 KB resident / 9 KB non-resident
Joexpediagroup[.]com,resolves to,127[.]0[.]0[.]1
Mytob,redirect,127.0.0.1
cal.exe,hash,12534f7014b3338d8f9f86ff1bbeacf8c80ad03f1d0d19077ff0e406c58b5133
Chinese MSS-affiliated actors,use,1245
LockBit 3.0,deploy,123.bat
HyperBro loader,file name,12.exe
celasllc[.]com,IP,107.187.66[.]103
[TEMP]\logger.dat,hash,10456bc3b5cfd2f1b1ab9c3833022ef52f5e9733d002ab237bdebad09b125024
kupaywallet[.]com,resolved to,104.200.67[.]96
windowsservicemanageav.exe,connect,104.194.222[.]50:443
malware,connect,104.194.222[.]50
unioncrypto[.]vip,resolved to,104.168.167[.]16
star-cz[.]ddns[.]net,IP,103[.]27[.]202[.]127
Credential-dumping tool,hash,100cad54c1f54126b9d37eb8c9e426cb609fc0eda0e9a241c2c9fd5a3a01ad6c
Fscan,scan,10.72.0.255
go64.exe,link to,10.72.0.101
Fscan,scan,10.72.0.0
Daxin,connect to,10.0.4.4
Daxin,connect to,10.0.3.3
Daxin,connect to,10.0.2.2
svchost.exe,ping,1.1.1.1
Zerobot,check connection,1.1.1.1
e7db4b0d0ef2804d9161670908697a93032a4c1809066d54ec6f9bcc8befa341.exe,has MD5,0e252ec52d7f4604d6b8894e479de233
0day.today,domain,0day.today
descend.exe,hash,0d4b8e244f19a009cee50252f81da4a2f481da9ddb9b204ef61448d56340c137
XMRig crypto miner,hash,0ad68d5804804c25a6f6f3d87cc3a3886583f69b7115ba01ab7c6dd96a186404
RDPdoor v4.2.x,has MD5 hash,0E9CCECABA272942F1A4297E42D3BA43
8cc5050f513ed22780d4e85857a77a1fb2a3083d792cd550089b64e1d2ef58e9,has MD5,08ab7f68c6b3a4a2a745cc244d41d213
wiecatinsu8.exe,has Sha-256,078a122a9401dd47a61369ac769d9e707d9e86bdf7ad91708510b9a4584e8d49
attacker's infrastructure,IP,071e20a982ea6b8f9d482685010be7aaf036401ea45e2977aca867cedcdb0217
spearphishing and intrusion campaign,related to,05476307f4beb3c0d9099270c504f055
deep-sunken.exe,hash,02c41bddd087522ce60f9376e499dcee6259853dcb50ddad70cb3ef8dd77c200
BeagleBoyz,use,01d397df2a1cf1d4c8e3615b7064856c
Frebniis,parse,/logon.aspx
Frebniis,parse,/default.aspx
commands,contain,.ashx files
Costura,is,.NET development tool
Frebniis,is,.NET backdoor code
Log4j-based application sandbox,include,*/wget
Log4j-based application sandbox,include,*/curl
scheduled task,created),"(scheduled task, auto-start and execute, addins.bat"
password spraying campaigns,tactic),"(password spraying campaigns, obtain, IP related to vaccines, treatments, and testing"
multifactor authentication,enable),"(multifactor authentication, enforce"
Ransom.Noberus,Navigate to,(http://mu75ltv3lxd24dbyu6gtvmnwybecigs5auki7fces437xvvflzva2nqd.onion/?access-key=${ACCESS_KEY}
KONNI,Command and Scripting Interpreter: Windows Command Shell [T1059.003]),"(KONNI, use, Command Prompt"
Grixba,have,(Infostealer.Grixba
CleanMX,hosted exploit host),"(GoDaddy, repossessed domain"
Bluebottle use,Quasar RAT),"(Bluebottle, use, Cobalt Strike Beacon"
WinRAR,create,%system%\inetsrv\XmlLite.dll
%TEMP%\MicrosoftEdgeUpdate.exe,drop,%TEMP%\msedgeupdate.dll
defiant.exe,drop,%TEMP%\\deep-versed.nls
Fast Reverse Proxy (FRP),drop,%TEMP%\MicrosoftEdgeUpdate.exe
Sagerunex,writes logs to,%TEMP%/TS_FB56.tmp
defiant.exe,drop,%PUBLIC\Pictures\deep-versed.nls
Exbyte,save,%APPDATA%\dummy
deep-sunken.exe,drop,%APPDATA%\baby\vb_baby.vbs
deep-sunken.exe,drop,%APPDATA%\baby\basement.exe
deep-sunken.exe,drop,%APPDATA%\baby\baby.dat
deep-sunken.exe,drop,%APPDATA%\baby\baby.cmd
